date,time,narration,ref,debit,credit,balance,channel
2026-08-10,08:14:22,UPI/P2M/CHAI-POINT/622301928311,622301928311,80,,184920,UPI
2026-08-10,09:30:15,IMPS/RENT-AUG26/ref 91024,91024,25000,,159920,IMPS
2026-08-10,13:20:44,UPI/P2M/SWIGGY/622312039182,622312039182,340,,159580,UPI
2026-08-10,17:45:10,UPI/REV/CASHBACK/622319283019,622319283019,,50,159630,UPI
2026-08-10,20:10:05,UPI/P2M/BLINKIT/622320192831,622320192831,465,,159165,UPI
2026-08-11,07:55:18,UPI/P2M/MOTHER-DAIRY/622401928301,622401928301,72,,159093,UPI
2026-08-11,10:18:33,BBPS/AIRTEL-PREPAID/882391028301,882391028301,749,,158344,BBPS
2026-08-11,12:40:50,UPI/P2M/ZEPTO/622412938102,622412938102,220,,158124,UPI
2026-08-11,15:10:12,UPI/REFUND/IRCTC/622415928391,622415928391,,860,158984,UPI
2026-08-11,19:25:40,UPI/P2M/HPCL-PETROL/622419283019,622419283019,1500,,157484,UPI
2026-08-11,21:30:15,UPI/P2M/CHAAYOS/622421391820,622421391820,195,,157289,UPI
2026-08-12,08:30:00,UPI/P2M/APOLLO-PHARM/622508391820,622508391820,540,,156749,UPI
2026-08-12,11:15:22,BBPS/PSPCL-POWER/771203918203,771203918203,3450,,153299,BBPS
2026-08-12,14:05:39,UPI/P2M/SWIGGY/622514059182,622514059182,410,,152889,UPI
2026-08-12,16:50:11,UPI/REV/MERCHANT-STMT/622516501928,622516501928,,1200,154089,UPI
2026-08-12,18:22:45,UPI/P2M/DMART/622518229182,622518229182,2180,,151909,UPI
2026-08-12,22:15:00,UPI/P2M/NETFLIX-SUBS/622522159182,622522159182,649,,151260,UPI
2026-08-13,09:12:10,UPI/P2M/METRO-TICKET/622609129182,622609129182,60,,151200,UPI
2026-08-13,12:35:18,UPI/P2M/ZEPTO/622612359182,622612359182,315,,150885,UPI
2026-08-13,15:45:00,UPI/CR/ONLINE-REFUND/622615459182,622615459182,,450,151335,UPI
2026-08-13,17:10:22,UPI/P2M/CHAAYOS/622617109182,622617109182,160,,151175,UPI
2026-08-13,19:40:55,UPI/P2M/BLINKIT/622619409182,622619409182,620,,150555,UPI
2026-08-13,21:18:30,UPI/P2M/SWIGGY/622621189182,622621189182,520,,150035,UPI
2026-08-14,08:10:14,UPI/P2M/CHAI-POINT/622708109182,622708109182,90,,149945,UPI
2026-08-14,09:45:20,UPI/P2M/MOTHER-DAIRY/622709459182,622709459182,84,,149861,UPI
2026-08-14,11:31:07,UPI/collect/…4471,4471,,42000,191861,UPI
2026-08-14,11:38:52,IMPS/P2P/ref 88120,88120,,115000,306861,IMPS
2026-08-14,11:49:20,IMPS/P2P/ref 88147,88147,,798180,1105041,IMPS
2026-08-14,11:56:44,UPI/collect/…9903,9903,,64500,1169541,UPI
2026-08-14,12:04:11,NEFT/OUT/…2210,2210,690000,,479541,NEFT
2026-08-14,12:11:38,ATM WDL SEC-22 CHD,ATM8812,100000,,379541,ATM
2026-08-14,14:30:15,UPI/P2M/SWIGGY/622714309182,622714309182,480,,379061,UPI
2026-08-14,18:05:40,UPI/P2M/IOCL-PETROL/622718059182,622718059182,2000,,377061,UPI
2026-08-14,20:50:12,UPI/P2M/ZEPTO/622720509182,622720509182,395,,376666,UPI
2026-08-15,09:20:00,UPI/P2M/SWEET-SHOP/622809209182,622809209182,450,,376216,UPI
2026-08-15,11:35:40,UPI/P2M/BOOKMYSHOW/622811359182,622811359182,780,,375436,UPI
2026-08-15,13:50:15,UPI/CR/CASHBACK-REWARD/622813509182,622813509182,,150,375586,UPI
2026-08-15,15:15:30,UPI/P2M/DOMINOS/622815159182,622815159182,890,,374696,UPI
2026-08-15,17:40:22,UPI/P2M/RELIANCE-FRESH/622817409182,622817409182,1450,,373246,UPI
2026-08-15,20:10:05,UPI/P2M/BLINKIT/622820109182,622820109182,310,,372936,UPI
2026-08-16,08:45:10,UPI/P2M/CHAI-POINT/622908459182,622908459182,110,,372826,UPI
2026-08-16,11:00:25,UPI/P2M/BIGBASKET/622911009182,622911009182,1820,,371006,UPI
2026-08-16,14:15:40,UPI/P2M/SWIGGY/622914159182,622914159182,420,,370586,UPI
2026-08-16,16:30:15,UPI/REV/PAYTM-CASHBACK/622916309182,622916309182,,75,370661,UPI
2026-08-16,19:05:50,UPI/P2M/APOLLO-PHARM/622919059182,622919059182,340,,370321,UPI
2026-08-16,21:40:12,UPI/P2M/ZEPTO/622921409182,622921409182,275,,370046,UPI
