date,time,narration,ref,debit,credit,balance,channel
2026-08-10,08:50:12,UPI/P2M/MOTHER-DAIRY/622308501219,622308501219,65,,27935,UPI
2026-08-10,13:30:45,UPI/P2M/SWIGGY/622313304519,622313304519,380,,27555,UPI
2026-08-11,10:12:40,IMPS/P2P/ref 55102,55102,,130000,157555,IMPS
2026-08-11,11:30:00,IMPS/OUT/…1102,1102,125000,,32555,IMPS
2026-08-12,09:15:30,UPI/P2M/CHAI-POINT/622509153019,622509153019,85,,32470,UPI
2026-08-12,17:40:10,UPI/P2M/ZEPTO/622517401019,622517401019,290,,32180,UPI
2026-08-13,16:40:15,IMPS/P2P/ref 81923,81923,,220000,252180,IMPS
2026-08-13,17:15:00,ATM WDL SEC-43 CHD,ATM4301,100000,,152180,ATM
2026-08-13,17:22:00,ATM WDL SEC-43 CHD,ATM4302,100000,,52180,ATM
2026-08-14,10:45:00,UPI/P2M/IOCL-PETROL/622710450019,622710450019,1500,,50680,UPI
2026-08-14,19:20:30,UPI/P2M/BLINKIT/622719203019,622719203019,480,,50200,UPI
2026-08-15,14:05:55,IMPS/P2P/ref 99031,99031,,145000,195200,IMPS
2026-08-15,15:00:00,NEFT/OUT/…4412,4412,140000,,55200,NEFT
2026-08-16,09:30:15,UPI/P2M/APOLLO-PHARM/622909301519,622909301519,320,,54880,UPI
2026-08-16,14:10:40,UPI/P2M/SWIGGY/622914104019,622914104019,440,,54440,UPI
2026-08-16,20:05:10,UPI/P2M/ZEPTO/622920051019,622920051019,350,,54090,UPI
